QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"A second ago, the fashion diva had been sleeping blissfully. Now, with her pasty face and her exquisitely c _ _ _ _ _ d hair in a rat's nest, she looked like she might have been sleepwalking. Except that her eyes were open. [7 Letters C _ _ _ _ _ D]",colored,COLORED,Colored
"A second ago, the fashion diva had been sleeping blissfully. Now, with her pasty face and her exquisitely c _ _ _ _ _ d hair in a rat's nest, she looked like she might have been sleepwalking. Except that her eyes were open. [7 Letters C _ _ _ _ _ D]",colored,COLORED,Colored
"""I'm okay,"" she said when she could speak. Her wet hair d _ _ _ _ _ d into her eyes, mixing with her tears. The whole bed was drenched, but she saw with a little relief that she had spared the rest of the room. [7 Letters D _ _ _ _ _ D]",dripped,DRIPPED,Dripped
"A second ago, the fashion diva had been sleeping blissfully. Now, with her pasty face and her exquisitely c _ _ _ _ _ d hair in a rat's nest, she looked like she might have been sleepwalking. Except that her eyes were open. [7 Letters C _ _ _ _ _ D]",colored,COLORED,Colored
"""I'm okay,"" she said when she could speak. Her wet hair d _ _ _ _ _ d into her eyes, mixing with her tears. The whole bed was drenched, but she saw with a little relief that she had spared the rest of the room. [7 Letters D _ _ _ _ _ D]",dripped,DRIPPED,Dripped
"Once I got it on, I dropped the sheet, hurried to the closet, pawed through my open suitcase on the floor, grabbed some panties and yanked them on. Then I d _ _ _ _ d out of the room. [6 Letters D _ _ _ _ _ D]",dashed,DASHED,Dashed
"A second ago, the fashion diva had been sleeping blissfully. Now, with her pasty face and her exquisitely c _ _ _ _ _ d hair in a rat's nest, she looked like she might have been sleepwalking. Except that her eyes were open. [7 Letters C _ _ _ _ _ D]",colored,COLORED,Colored
"""I'm okay,"" she said when she could speak. Her wet hair d _ _ _ _ _ d into her eyes, mixing with her tears. The whole bed was drenched, but she saw with a little relief that she had spared the rest of the room. [7 Letters D _ _ _ _ _ D]",dripped,DRIPPED,Dripped
"Once I got it on, I dropped the sheet, hurried to the closet, pawed through my open suitcase on the floor, grabbed some panties and yanked them on. Then I d _ _ _ _ d out of the room. [6 Letters D _ _ _ _ _ D]",dashed,DASHED,Dashed
"""Light? Light?"" He looked like a man t _ _ _ _ g out a word in Swedish. [6 Letters T _ _ _ _ _ G]",trying,TRYING,Trying
"A second ago, the fashion diva had been sleeping blissfully. Now, with her pasty face and her exquisitely c _ _ _ _ _ d hair in a rat's nest, she looked like she might have been sleepwalking. Except that her eyes were open. [7 Letters C _ _ _ _ _ D]",colored,COLORED,Colored
"""I'm okay,"" she said when she could speak. Her wet hair d _ _ _ _ _ d into her eyes, mixing with her tears. The whole bed was drenched, but she saw with a little relief that she had spared the rest of the room. [7 Letters D _ _ _ _ _ D]",dripped,DRIPPED,Dripped
"Once I got it on, I dropped the sheet, hurried to the closet, pawed through my open suitcase on the floor, grabbed some panties and yanked them on. Then I d _ _ _ _ d out of the room. [6 Letters D _ _ _ _ _ D]",dashed,DASHED,Dashed
"""Light? Light?"" He looked like a man t _ _ _ _ g out a word in Swedish. [6 Letters T _ _ _ _ _ G]",trying,TRYING,Trying
"Web had recently switched from sniper to assaulter and was still f _ _ _ _ _ g his way a bit, eager to show his mettle in the front lines. The explosion had occurred from a homemade concoction thrown by one of the Frees. [7 Letters F _ _ _ _ _ G]",feeling,FEELING,Feeling
"A second ago, the fashion diva had been sleeping blissfully. Now, with her pasty face and her exquisitely c _ _ _ _ _ d hair in a rat's nest, she looked like she might have been sleepwalking. Except that her eyes were open. [7 Letters C _ _ _ _ _ D]",colored,COLORED,Colored
"""I'm okay,"" she said when she could speak. Her wet hair d _ _ _ _ _ d into her eyes, mixing with her tears. The whole bed was drenched, but she saw with a little relief that she had spared the rest of the room. [7 Letters D _ _ _ _ _ D]",dripped,DRIPPED,Dripped
"Once I got it on, I dropped the sheet, hurried to the closet, pawed through my open suitcase on the floor, grabbed some panties and yanked them on. Then I d _ _ _ _ d out of the room. [6 Letters D _ _ _ _ _ D]",dashed,DASHED,Dashed
"""Light? Light?"" He looked like a man t _ _ _ _ g out a word in Swedish. [6 Letters T _ _ _ _ _ G]",trying,TRYING,Trying
"Web had recently switched from sniper to assaulter and was still f _ _ _ _ _ g his way a bit, eager to show his mettle in the front lines. The explosion had occurred from a homemade concoction thrown by one of the Frees. [7 Letters F _ _ _ _ _ G]",feeling,FEELING,Feeling
"The Judge smoked, his chin low, his shoulders h _ _ _ _ _ d high. [7 Letters H _ _ _ _ _ D]",hunched,HUNCHED,Hunched
"I didn't know him, but he had apparently read some of my books. In his friendly, matter-of-fact way he told me that he'd been toying with the idea of commissioning a work of f _ _ _ _ _ n for the Op-Ed page on Christmas Day. [7 Letters F _ _ _ _ _ N]",fiction,FICTION,Fiction
"I didn't know him, but he had apparently read some of my books. In his friendly, matter-of-fact way he told me that he'd been toying with the idea of commissioning a work of f _ _ _ _ _ n for the Op-Ed page on Christmas Day. [7 Letters F _ _ _ _ _ N]",fiction,FICTION,Fiction
"""Only one?"" she said. Setting the others on the floor, she planted her fists on her h _ _ _  and scowled. ""Sometimes you really are a sheepherder. These bags must be a hundredweight each."" But she sounded more amused than upset. [4 Letters H _ _ _ ]",hips,HIPS,Hips
"I didn't know him, but he had apparently read some of my books. In his friendly, matter-of-fact way he told me that he'd been toying with the idea of commissioning a work of f _ _ _ _ _ n for the Op-Ed page on Christmas Day. [7 Letters F _ _ _ _ _ N]",fiction,FICTION,Fiction
"""Only one?"" she said. Setting the others on the floor, she planted her fists on her h _ _ _  and scowled. ""Sometimes you really are a sheepherder. These bags must be a hundredweight each."" But she sounded more amused than upset. [4 Letters H _ _ _ ]",hips,HIPS,Hips
"""It'll pass."" He was surprised he could speak. The way she looked when she laughed made his throat slam shut. He wasn't a man for pretty w _ _ _ s, not for saying them or for thinking them. [5 Letters W _ _ _ _ _ S]",words,WORDS,Words
"I didn't know him, but he had apparently read some of my books. In his friendly, matter-of-fact way he told me that he'd been toying with the idea of commissioning a work of f _ _ _ _ _ n for the Op-Ed page on Christmas Day. [7 Letters F _ _ _ _ _ N]",fiction,FICTION,Fiction
"""Only one?"" she said. Setting the others on the floor, she planted her fists on her h _ _ _  and scowled. ""Sometimes you really are a sheepherder. These bags must be a hundredweight each."" But she sounded more amused than upset. [4 Letters H _ _ _ ]",hips,HIPS,Hips
"""It'll pass."" He was surprised he could speak. The way she looked when she laughed made his throat slam shut. He wasn't a man for pretty w _ _ _ s, not for saying them or for thinking them. [5 Letters W _ _ _ _ _ S]",words,WORDS,Words
"You g _ _ _  look like red's your favorite color, like maybe you shop at the same store. I'll ask nice one more time. Who shot those kids?"" [4 Letters G _ _ _ ]",guys,GUYS,Guys
"I didn't know him, but he had apparently read some of my books. In his friendly, matter-of-fact way he told me that he'd been toying with the idea of commissioning a work of f _ _ _ _ _ n for the Op-Ed page on Christmas Day. [7 Letters F _ _ _ _ _ N]",fiction,FICTION,Fiction
"""Only one?"" she said. Setting the others on the floor, she planted her fists on her h _ _ _  and scowled. ""Sometimes you really are a sheepherder. These bags must be a hundredweight each."" But she sounded more amused than upset. [4 Letters H _ _ _ ]",hips,HIPS,Hips
"""It'll pass."" He was surprised he could speak. The way she looked when she laughed made his throat slam shut. He wasn't a man for pretty w _ _ _ s, not for saying them or for thinking them. [5 Letters W _ _ _ _ _ S]",words,WORDS,Words
"You g _ _ _  look like red's your favorite color, like maybe you shop at the same store. I'll ask nice one more time. Who shot those kids?"" [4 Letters G _ _ _ ]",guys,GUYS,Guys
"For the next thirty minutes, B.J. occupied herself with busy work, all the while keeping her e _ _ _  pricked for Taylor's approach. As the minutes passed, she felt a throbbing tension build at the base of her neck. [4 Letters E _ _ _ ]",ears,EARS,Ears
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
"-وشدد ممثلي الخاص في اجتماعاته على الحاجة إلى تشكيل حكومة تكون شاملة ل ـ ـ ـ ـ ع ، وتلتزم بسيادة القانون والدستور العراقي .-

- الحرف الأول [ ل ] - الحرف الأخير [ ع ] - [ ل ـ ـ ـ ـ ع ] - عدد الحروف 6 -",للجميع,وللجميع,للجميعة
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
"-وشدد ممثلي الخاص في اجتماعاته على الحاجة إلى تشكيل حكومة تكون شاملة ل ـ ـ ـ ـ ع ، وتلتزم بسيادة القانون والدستور العراقي .-

- الحرف الأول [ ل ] - الحرف الأخير [ ع ] - [ ل ـ ـ ـ ـ ع ] - عدد الحروف 6 -",للجميع,وللجميع,للجميعة
"-ويمثل مفهوم التنمية الزراعية والريفية ا ـ ـ ـ ـ ـ ـ ـ ة ، الذي يتخذ هدفا رئيسيا له زيادة الأمن الغذائي بأسلوب سليم من الناحية البيئية من أجل المساهمة في تحقيق الإدارة ا ـ ـ ـ ـ ـ ـ ـ ة للموارد الطبيعية ، أحد نهج تحقيق هذا الهدف ( 8 ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",المستدامة,والمستدامة,المستدام
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
"-وشدد ممثلي الخاص في اجتماعاته على الحاجة إلى تشكيل حكومة تكون شاملة ل ـ ـ ـ ـ ع ، وتلتزم بسيادة القانون والدستور العراقي .-

- الحرف الأول [ ل ] - الحرف الأخير [ ع ] - [ ل ـ ـ ـ ـ ع ] - عدد الحروف 6 -",للجميع,وللجميع,للجميعة
"-ويمثل مفهوم التنمية الزراعية والريفية ا ـ ـ ـ ـ ـ ـ ـ ة ، الذي يتخذ هدفا رئيسيا له زيادة الأمن الغذائي بأسلوب سليم من الناحية البيئية من أجل المساهمة في تحقيق الإدارة ا ـ ـ ـ ـ ـ ـ ـ ة للموارد الطبيعية ، أحد نهج تحقيق هذا الهدف ( 8 ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",المستدامة,والمستدامة,المستدام
"-٢ وذكر الرئيس الخارج أنه كان على مفوضية الأمم المتحدة لشؤون اللاجئين ، على مدى السنتين الماضيتين ، مواجهة تحديات ك ـ ـ ـ ة جديدة ، وقد حققت بعض النجاح الملحوظ .-

- الحرف الأول [ ك ] - الحرف الأخير [ ة ] - [ ك ـ ـ ـ ة ] - عدد الحروف 5 -",كثيرة,عديدة,وكثيرة
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
"-وشدد ممثلي الخاص في اجتماعاته على الحاجة إلى تشكيل حكومة تكون شاملة ل ـ ـ ـ ـ ع ، وتلتزم بسيادة القانون والدستور العراقي .-

- الحرف الأول [ ل ] - الحرف الأخير [ ع ] - [ ل ـ ـ ـ ـ ع ] - عدد الحروف 6 -",للجميع,وللجميع,للجميعة
"-ويمثل مفهوم التنمية الزراعية والريفية ا ـ ـ ـ ـ ـ ـ ـ ة ، الذي يتخذ هدفا رئيسيا له زيادة الأمن الغذائي بأسلوب سليم من الناحية البيئية من أجل المساهمة في تحقيق الإدارة ا ـ ـ ـ ـ ـ ـ ـ ة للموارد الطبيعية ، أحد نهج تحقيق هذا الهدف ( 8 ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",المستدامة,والمستدامة,المستدام
"-٢ وذكر الرئيس الخارج أنه كان على مفوضية الأمم المتحدة لشؤون اللاجئين ، على مدى السنتين الماضيتين ، مواجهة تحديات ك ـ ـ ـ ة جديدة ، وقد حققت بعض النجاح الملحوظ .-

- الحرف الأول [ ك ] - الحرف الأخير [ ة ] - [ ك ـ ـ ـ ة ] - عدد الحروف 5 -",كثيرة,عديدة,وكثيرة
"-وأكدت أنها تأمل في تؤكد الدول الأطراف المشاركة في المؤتمر على المبادئ الأساسية للمعاهدة ؛ وتتفق على مجموعة من التدابير الملموسة والفعالة والتوافقية على غرار ما ورد في ورقة العمل المقدمة من الاتحاد الأوروبي إلى اللجنة التحضيرية في سنة 2009 ؛ وأن تنظر في طرق للتحسين بشأن إ ـ ـ ـ ـ ـ ت تنفيذ المعاهدة .-

- الحرف الأول [ إ ] - الحرف الأخير [ ت ] - [ إ ـ ـ ـ ـ ـ ت ] - عدد الحروف 7 -",إجراءات,لإجراءات,كإجراءات
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
"-وشدد ممثلي الخاص في اجتماعاته على الحاجة إلى تشكيل حكومة تكون شاملة ل ـ ـ ـ ـ ع ، وتلتزم بسيادة القانون والدستور العراقي .-

- الحرف الأول [ ل ] - الحرف الأخير [ ع ] - [ ل ـ ـ ـ ـ ع ] - عدد الحروف 6 -",للجميع,وللجميع,للجميعة
"-ويمثل مفهوم التنمية الزراعية والريفية ا ـ ـ ـ ـ ـ ـ ـ ة ، الذي يتخذ هدفا رئيسيا له زيادة الأمن الغذائي بأسلوب سليم من الناحية البيئية من أجل المساهمة في تحقيق الإدارة ا ـ ـ ـ ـ ـ ـ ـ ة للموارد الطبيعية ، أحد نهج تحقيق هذا الهدف ( 8 ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",المستدامة,والمستدامة,المستدام
"-٢ وذكر الرئيس الخارج أنه كان على مفوضية الأمم المتحدة لشؤون اللاجئين ، على مدى السنتين الماضيتين ، مواجهة تحديات ك ـ ـ ـ ة جديدة ، وقد حققت بعض النجاح الملحوظ .-

- الحرف الأول [ ك ] - الحرف الأخير [ ة ] - [ ك ـ ـ ـ ة ] - عدد الحروف 5 -",كثيرة,عديدة,وكثيرة
"-وأكدت أنها تأمل في تؤكد الدول الأطراف المشاركة في المؤتمر على المبادئ الأساسية للمعاهدة ؛ وتتفق على مجموعة من التدابير الملموسة والفعالة والتوافقية على غرار ما ورد في ورقة العمل المقدمة من الاتحاد الأوروبي إلى اللجنة التحضيرية في سنة 2009 ؛ وأن تنظر في طرق للتحسين بشأن إ ـ ـ ـ ـ ـ ت تنفيذ المعاهدة .-

- الحرف الأول [ إ ] - الحرف الأخير [ ت ] - [ إ ـ ـ ـ ـ ـ ت ] - عدد الحروف 7 -",إجراءات,لإجراءات,كإجراءات
"-١٠ - وأثبت تطور الأحداث التي حصلت بعد صدور ا ـ ـ ـ ـ ـ ر السادس صحة هذه الملاحظات .-

- الحرف الأول [ ا ] - الحرف الأخير [ ر ] - [ ا ـ ـ ـ ـ ـ ر ] - عدد الحروف 7 -",التقرير,والتقرير,التقريري
"-( ح ) مواصلة الترويج لاستخدام المواد الكيميائية المولدة للجذور لزيادة جودة الشتلات وتوسيع نطاق إعادة الغطاء ا ـ ـ ـ ـ ـ ي وتشجيع الزراعة على أساس تقليدي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ي ] - عدد الحروف 7 -",النباتي,والنباتي,النباتين
"-35 - فيما يتعلق بالإجراء الذي يتعين على ا ـ ـ ـ ـ ـ ة العامة اتخاذه ، كما اقترح ذلك الأمين العام في الوثيقةA / 56 / 802 ، الفقرة 3 ، توصي اللجنة الاستشارية بأن تقوم ا ـ ـ ـ ـ ـ ة العامة ، مع مراعاتها التعليقات والملاحظات المذكورة أعلاه ، بتخصيص مبلغ قدره 330 مليون دولار ، يعكس انخفاضا قدره 200 076 61 دولار عن التقدير المقترح البالغ 200 076 391 دولار .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الجمعية,في الجمعية,فالجمعية
"-16 - يطلب إلى الأمين العام أن يواصل اتخاذ التدابير اللازمة لكفالة التقيد الكامل في البعثة بسياسة الأمم المتحدة القائمة على عدم ا ـ ـ ـ ـ ـ ح مطلقا إزاء الاستغلال والاعتداء الجنسيين وأن يطلع المجلس على ذلك ، ويحث البلدان المساهمة بقوات عسكرية وشرطية على اتخاذ التدابير الوقائية المناسبة وعلى كفالة المساءلة الكاملة في حالات تصرف الأفراد التابعين لها بمثل هذا السلوك ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ح ] - [ ا ـ ـ ـ ـ ـ ح ] - عدد الحروف 7 -",التسامح,التسامحي,والتسامح
